step,rewards,robot_1_energy,robot_2_energy,packages_delivered
0,15,149,149,0
1,26,148,148,0
2,19,147,147,0
3,26,146,146,0
4,25,145,145,0
5,21,144,144,0
6,26,143,143,0
7,26,142,142,0
8,14,141,141,0
9,21,140,140,0
10,14,139,139,0
11,21,138,138,0
12,25,137,137,0
13,18,136,136,0
14,26,135,135,0
15,26,134,134,0
16,5,133,133,0
17,26,132,132,0
18,1,131,131,0
19,25,130,130,0
20,25,129,129,0
21,33,128,128,0
22,25,127,127,0
23,14,126,126,0
24,21,125,125,0
25,21,124,124,0
26,21,123,123,0
27,25,122,122,0
28,14,121,121,0
29,21,120,120,0
30,7,119,119,0
31,18,118,118,0
32,-6,117,117,0
33,-6,116,116,0
34,18,115,115,0
35,19,114,114,0
36,18,113,113,0
37,28,112,112,0
38,33,111,111,0
39,38,110,110,0
40,31,109,109,0
41,21,108,108,0
42,26,107,107,0
43,21,106,106,0
44,26,105,105,0
45,25,104,104,0
46,14,103,103,0
47,21,102,102,0
48,21,101,101,0
49,21,100,100,0
50,36,99,99,0
51,28,98,98,0
52,32,97,97,0
53,28,96,96,0
54,28,95,95,0
55,38,94,94,0
56,39,93,93,0
57,11,92,92,0
58,4,91,91,0
59,4,90,90,0
60,4,89,89,0
61,8,88,88,0
62,7,87,87,0
63,9,86,86,0
64,9,85,85,0
65,4,84,84,0
66,4,83,83,0
67,8,82,82,0
68,9,81,81,0
69,9,80,80,0
70,9,79,79,0
71,7,78,78,0
72,4,77,77,0
73,4,76,76,0
74,8,75,75,0
75,9,74,74,0
76,4,73,73,0
77,8,72,72,0
78,-2,71,71,0
79,3,70,70,0
80,3,69,69,0
81,11,68,68,0
82,4,67,67,0
83,18,66,66,0
84,4,65,65,0
85,4,64,64,0
86,2,63,63,0
87,-2,62,62,0
88,4,61,61,0
89,4,60,60,0
90,15,59,59,0
91,15,58,58,0
92,8,57,57,0
93,4,56,56,0
94,11,55,55,0
95,11,54,54,0
96,15,53,53,0
97,11,52,52,0
98,4,51,51,0
99,9,50,50,0
