episode,reward
0,6
0,12
0,18
0,24
0,29
0,32
0,35
0,38
0,40
0,44
0,46
0,50
0,52
0,56
0,60
0,65
0,74
0,79
0,84
0,89
0,98
0,108
0,118
0,127
0,134
0,139
0,148
0,155
0,162
0,172
0,182
0,192
0,202
0,209
0,219
0,229
0,239
0,247
0,255
0,263
0,270
0,280
0,287
0,293
0,299
0,308
0,312
0,318
0,324
0,328
0,332
0,335
0,344
0,353
0,362
0,371
0,377
0,386
0,395
0,402
0,407
0,410
0,416
0,425
0,433
0,437
0,443
0,451
0,459
0,467
0,474
0,483
0,493
0,503
0,509
0,515
0,519
0,525
0,531
0,535
0,541
0,547
0,553
0,559
0,565
0,571
0,578
0,585
0,590
0,598
0,599
0,604
0,609
0,617
0,625
0,631
0,639
0,647
0,655
0,663
1,7
1,18
1,29
1,38
1,49
1,60
1,65
1,72
1,79
1,86
1,93
1,100
1,107
1,114
1,119
1,124
1,131
1,138
1,145
1,150
1,157
1,164
1,161
1,166
1,173
1,180
1,187
1,194
1,201
1,207
1,208
1,212
1,219
1,226
1,233
1,241
1,244
1,247
1,250
1,253
1,256
1,257
1,260
1,263
1,266
1,269
1,272
1,275
1,278
1,281
1,283
1,285
1,288
1,291
1,292
1,293
1,295
1,296
1,299
1,301
1,304
1,304
1,304
1,305
1,308
1,309
1,309
1,309
1,304
1,304
1,304
1,304
1,302
1,300
1,303
1,304
1,305
1,308
1,311
1,309
1,302
1,305
1,307
1,310
1,313
1,316
1,319
1,322
1,322
1,328
1,332
1,338
1,344
1,350
1,356
1,361
1,366
1,371
1,376
1,379
2,6
2,11
2,20
2,26
2,35
2,44
2,53
2,62
2,71
2,80
2,89
2,98
2,107
2,116
2,124
2,132
2,140
2,148
2,156
2,164
2,173
2,182
2,191
2,198
2,207
2,214
2,223
2,233
2,243
2,253
2,263
2,273
2,284
2,295
2,306
2,317
2,328
2,339
2,350
2,361
2,372
2,379
2,390
2,401
2,412
2,423
2,431
2,435
2,442
2,450
2,461
2,472
2,481
2,492
2,503
2,514
2,524
2,534
2,545
2,556
2,567
2,578
2,589
2,600
2,611
2,621
2,631
2,639
2,649
2,657
2,667
2,674
2,684
2,694
2,705
2,715
2,725
2,733
2,741
2,749
2,755
2,764
2,771
2,778
2,785
2,792
2,799
2,806
2,815
2,822
2,831
2,840
2,849
2,858
2,867
2,876
2,885
2,894
2,903
2,912
3,9
3,17
3,25
3,33
3,41
3,49
3,57
3,65
3,73
3,79
3,87
3,95
3,99
3,103
3,107
3,111
3,115
3,119
3,124
3,127
3,129
3,135
3,140
3,147
3,154
3,161
3,167
3,183
3,189
3,190
3,191
3,197
3,198
3,199
3,200
3,201
3,201
3,206
3,209
3,214
3,211
3,216
3,221
3,226
3,231
3,236
3,241
3,241
3,243
3,242
3,244
3,246
3,248
3,253
3,258
3,263
3,268
3,273
3,278
3,283
3,287
3,292
3,297
3,302
3,304
3,309
3,314
3,323
3,329
3,338
3,345
3,354
3,361
3,370
3,376
3,385
3,390
3,392
3,397
3,402
3,407
3,412
3,417
3,422
3,427
3,432
3,437
3,442
3,447
3,449
3,455
3,461
3,467
3,473
3,478
3,484
3,490
3,495
3,500
3,505
4,4
4,7
4,11
4,15
4,19
4,20
4,21
4,24
4,24
4,24
4,28
4,29
4,32
4,36
4,39
4,42
4,42
4,42
4,42
4,46
4,50
4,54
4,58
4,62
4,62
4,66
4,70
4,74
4,76
4,80
4,85
4,91
4,97
4,103
4,109
4,116
4,122
4,128
4,137
4,143
4,149
4,156
4,165
4,174
4,183
4,192
4,201
4,210
4,219
4,223
4,232
4,241
4,250
4,256
4,263
4,264
4,265
4,266
4,267
4,269
4,269
4,271
4,272
4,273
4,275
4,276
4,276
4,277
4,278
4,279
4,280
4,282
4,283
4,284
4,285
4,286
4,287
4,288
4,289
4,290
4,291
4,292
4,293
4,294
4,295
4,296
4,296
4,299
4,302
4,305
4,308
4,311
4,313
4,316
