Episode, Total Reward, Epsilon, Steps
1, 1510.00, 0.36, 190
2, 1319.00, 0.20, 184
3, -29.00, 0.17, 151
4, 1233.00, 0.14, 151
5, 1177.00, 0.11, 151
6, 2143.00, 0.09, 151
7, -180.00, 0.08, 151
8, 3316.00, 0.07, 151
9, 3096.00, 0.07, 151
10, 2120.00, 0.06, 224
11, 1654.00, 0.05, 151
12, 732.00, 0.05, 151
13, 958.00, 0.04, 214
14, 729.00, 0.04, 151
15, -172.00, 0.04, 151
16, 522.00, 0.04, 151
17, 2406.00, 0.03, 151
18, -857.00, 0.03, 151
19, -1809.00, 0.03, 151
20, -361.00, 0.03, 151
21, 1645.00, 0.03, 151
22, 478.00, 0.03, 151
23, 3331.00, 0.03, 151
24, 3112.00, 0.03, 151
25, 1802.00, 0.03, 151
26, 286.00, 0.02, 151
27, 1114.00, 0.02, 151
28, -879.00, 0.02, 151
29, 1585.00, 0.02, 151
30, -220.00, 0.02, 151
31, -5252.00, 0.02, 151
32, 1471.00, 0.02, 151
33, 294.00, 0.02, 151
34, 1634.00, 0.02, 151
35, -1278.00, 0.02, 151
36, -1870.00, 0.02, 151
37, 1698.00, 0.02, 151
38, 507.00, 0.02, 151
39, 150.00, 0.02, 232
40, 1529.00, 0.01, 151
41, -1876.00, 0.01, 151
42, -1147.00, 0.01, 151
43, 532.00, 0.01, 151
44, 3917.00, 0.01, 151
45, 873.00, 0.01, 151
46, 495.00, 0.01, 151
47, 2690.00, 0.01, 151
48, 1606.00, 0.01, 151
49, 1634.00, 0.01, 151
50, -2170.00, 0.01, 151
51, -1067.00, 0.01, 151
52, 1204.00, 0.01, 151
53, 2109.00, 0.01, 151
54, 2417.00, 0.01, 151
55, 11.00, 0.01, 151
56, 1614.00, 0.01, 151
57, 2551.00, 0.01, 151
58, 1336.00, 0.01, 151
59, 2550.00, 0.01, 151
60, 345.00, 0.01, 151
61, -2089.00, 0.01, 151
62, 416.00, 0.01, 151
63, 1501.00, 0.01, 151
64, 2410.00, 0.01, 151
65, 2285.00, 0.01, 151
66, -1225.00, 0.01, 151
67, 45.00, 0.01, 151
68, 436.00, 0.01, 151
69, 1681.00, 0.01, 151
70, 3664.00, 0.01, 151
71, 976.00, 0.01, 151
72, 2502.00, 0.01, 151
73, 3936.00, 0.01, 151
74, 2551.00, 0.01, 151
75, 2867.00, 0.01, 160
76, 2635.00, 0.01, 151
77, 423.00, 0.01, 151
78, 2848.00, 0.01, 151
79, 1354.00, 0.01, 151
80, 1416.00, 0.01, 151
81, 1493.00, 0.01, 151
82, 626.00, 0.01, 151
83, 1564.00, 0.01, 151
84, 2550.00, 0.01, 151
85, 3694.00, 0.01, 151
86, 277.00, 0.01, 151
87, 437.00, 0.01, 151
88, 1353.00, 0.01, 151
89, 2032.00, 0.01, 151
90, 2551.00, 0.01, 151
91, 2173.00, 0.01, 151
92, 1634.00, 0.01, 151
93, 1634.00, 0.01, 151
94, 2551.00, 0.01, 151
95, -228.00, 0.01, 151
96, 2551.00, 0.01, 151
97, 3253.00, 0.01, 151
98, 656.00, 0.01, 151
99, 2551.00, 0.01, 151
100, 2543.00, 0.01, 151
101, 1789.00, 0.01, 151
102, 2158.00, 0.01, 153
103, 2772.00, 0.01, 151
104, 3167.00, 0.01, 151
105, 1563.00, 0.01, 151
106, -1568.00, 0.01, 151
107, 2691.00, 0.01, 151
108, -651.00, 0.01, 194
109, -323.00, 0.01, 151
110, 1969.00, 0.01, 151
111, -886.00, 0.01, 151
112, 1506.00, 0.01, 151
113, 3020.00, 0.01, 151
114, 3388.00, 0.01, 151
115, -1086.00, 0.01, 151
116, 437.00, 0.01, 151
117, 738.00, 0.01, 151
118, -129.00, 0.01, 151
119, 577.00, 0.01, 151
120, 2560.00, 0.01, 239
121, 1590.00, 0.01, 151
122, 2701.00, 0.01, 151
123, 1494.00, 0.01, 151
124, 1354.00, 0.01, 151
125, 1354.00, 0.01, 151
126, 1406.00, 0.01, 151
127, 676.00, 0.01, 151
128, -681.00, 0.01, 151
129, 132.00, 0.01, 151
130, 848.00, 0.01, 151
131, 1494.00, 0.01, 151
132, 2525.00, 0.01, 151
133, 1539.00, 0.01, 151
134, 46.00, 0.01, 151
135, 396.00, 0.01, 151
136, -17.00, 0.01, 151
137, 1225.00, 0.01, 151
138, 1220.00, 0.01, 151
139, -1032.00, 0.01, 151
140, -639.00, 0.01, 151
141, 1474.00, 0.01, 151
